,name,month,pr,pr,pr
,,,sum,mean,max
316,Xinjiang,January,55.815247,0.1951582,0.8283249
317,Xinjiang,July,223.54,0.78160834,3.8778837
318,Xinjiang,June,310.43176,1.0854257,3.3297176
319,Xinjiang,March,179.89684,0.6290099,2.108683
320,Xinjiang,May,318.51553,1.1136907,3.5443861
321,Xinjiang,November,162.90022,0.5695812,2.676962
322,Xinjiang,October,139.22374,0.4867963,2.240959
323,Xinjiang,September,238.23631,0.8329941,4.5564046
324,Xizang,April,509.10754,2.9599276,19.42032
325,Xizang,August,774.7631,4.504437,20.52382
326,Xizang,December,106.87408,0.6213609,4.564848
327,Xizang,February,144.21645,0.8384677,6.650568
328,Xizang,January,86.28214,0.5016404,4.795028
329,Xizang,July,754.5411,4.3868666,17.05993
330,Xizang,June,830.6329,4.829261,26.95692
331,Xizang,March,246.12311,1.4309483,6.7800484
332,Xizang,May,463.62027,2.6954668,17.144068
333,Xizang,November,160.59694,0.9337031,6.9819474
334,Xizang,October,192.01736,1.11638,10.105467
335,Xizang,September,721.7488,4.1962137,17.348131
336,Yunnan,April,63.44573,1.0938919,3.7944765
337,Yunnan,August,623.63086,10.752256,14.649865
338,Yunnan,December,59.984215,1.0342106,2.263707
339,Yunnan,February,44.567978,0.7684134,2.712899
340,Yunnan,January,43.130978,0.74363756,1.7302296
341,Yunnan,July,573.36945,9.88568,15.100981
342,Yunnan,June,660.8767,11.394426,21.810993
343,Yunnan,March,31.766632,0.5477005,2.80123
344,Yunnan,May,459.66223,7.925211,10.131044
345,Yunnan,November,37.26653,0.6425264,1.8996675
346,Yunnan,October,214.95657,3.706148,7.146988
347,Yunnan,September,429.15756,7.399268,11.344559
348,Zhejiang,April,124.868355,8.919168,10.019884
349,Zhejiang,August,81.35883,5.811345,9.571285
350,Zhejiang,December,14.3909645,1.0279261,1.61614
351,Zhejiang,February,35.64194,2.545853,3.5491865
352,Zhejiang,January,13.284764,0.9489117,1.2419554
353,Zhejiang,July,86.22808,6.1591487,7.816418
354,Zhejiang,June,88.80722,6.343373,9.392125
355,Zhejiang,March,47.785324,3.4132373,4.090661
356,Zhejiang,May,56.28888,4.020634,4.730317
357,Zhejiang,November,23.311922,1.6651373,1.9896942
358,Zhejiang,October,8.527503,0.6091074,0.8366638
359,Zhejiang,September,80.625275,5.7589483,7.0569253
